[Main]
Experiment = "IvsV"
Header length = 32    
Date = "20190830 16:46:30"
Comments = "SD: 1Vb to 2V-, BG: 2Va to 2V-"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = -100.000000E-3
Final Voltage (V) = 100.000000E-3
Voltage step (V) = 1.000000E-3
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = TRUE
Manual range (V) = 10.000000E+0
Measurement Type = "Static"
Pattern = "Linear"
Check compliance = TRUE
Measurement Speed = 1.000000
Time (s)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	di/dv (A/V)
459.391583920E+0	4.000000190E-3	124.118093333E-12	1.480777547E-12	32.227373806E+6	384.485212864E+3	31.525344833E-9
467.207795143E+0	4.999999888E-3	155.072976667E-12	503.489018942E-15	32.242883291E+6	104.685793908E+3	30.954892674E-9
474.694099426E+0	6.000000052E-3	185.612183333E-12	593.410162903E-15	32.325464549E+6	103.345905637E+3	30.539201661E-9
482.181870461E+0	7.000000216E-3	215.324266667E-12	565.465219110E-15	32.509109746E+6	85.372499580E+3	29.712078463E-9
489.667757511E+0	8.000000380E-3	246.162573333E-12	596.988742996E-15	32.498849324E+6	78.815584937E+3	30.838301612E-9
497.161324978E+0	8.999999613E-3	276.187050000E-12	562.753023399E-15	32.586609736E+6	66.397802328E+3	30.024499708E-9
504.656305790E+0	9.999999776E-3	305.899223333E-12	763.467740973E-15	32.690503976E+6	81.589436382E+3	29.712168463E-9
512.148848057E+0	10.999999940E-3	335.777470000E-12	646.441526358E-15	32.759791598E+6	63.069418218E+3	29.878241769E-9
519.638194561E+0	12.000000104E-3	366.017613333E-12	629.186258116E-15	32.785307775E+6	56.358121492E+3	30.240138377E-9
527.131927490E+0	13.000000268E-3	396.467830000E-12	780.359265692E-15	32.789546300E+6	64.538972236E+3	30.450211675E-9
534.623197556E+0	14.000000432E-3	427.219970000E-12	1.678625924E-12	32.770004717E+6	128.759382321E+3	30.752134959E-9
542.123564720E+0	14.999999665E-3	453.384636667E-12	1.265089790E-12	33.084490412E+6	92.316429881E+3	26.164686746E-9
549.615452290E+0	16.000000760E-3	485.288920000E-12	830.257092048E-15	32.970051655E+6	56.406849783E+3	31.904248391E-9
557.109797001E+0	17.000000924E-3	513.729173333E-12	1.838377454E-12	33.091367604E+6	118.417304869E+3	28.440248672E-9
564.596007347E+0	17.999999225E-3	542.119420000E-12	1.883036902E-12	33.203014984E+6	115.329759771E+3	28.390294894E-9
572.084129810E+0	18.999999389E-3	572.606186667E-12	1.307866024E-12	33.181617369E+6	75.788754951E+3	30.486761669E-9
579.574360847E+0	19.999999553E-3	601.335836667E-12	1.577836033E-12	33.259284302E+6	87.268534485E+3	28.729645291E-9
587.062360764E+0	20.999999717E-3	633.726826667E-12	2.117237975E-12	33.137305907E+6	110.709472122E+3	32.390984691E-9
594.552693844E+0	21.999999881E-3	665.787306667E-12	1.446117443E-12	33.043585632E+6	71.772028525E+3	32.060474745E-9
602.044451237E+0	23.000000045E-3	694.657960000E-12	1.079227045E-12	33.109820040E+6	51.439723278E+3	28.870648601E-9
609.534343243E+0	24.000000209E-3	724.688290000E-12	2.518809966E-12	33.117687342E+6	115.107642954E+3	30.030325078E-9
617.027974606E+0	25.000000373E-3	754.388983333E-12	1.796456613E-12	33.139402781E+6	78.916183274E+3	29.700688465E-9
624.515797615E+0	26.000000536E-3	780.959680000E-12	1.515370602E-12	33.292372452E+6	64.600367691E+3	26.570692311E-9
632.013086319E+0	27.000000700E-3	807.391296667E-12	2.317551620E-12	33.441035111E+6	95.989795068E+3	26.431612334E-9
639.501975536E+0	28.000000864E-3	836.379073333E-12	1.483030079E-12	33.477643998E+6	59.361065580E+3	28.987771915E-9
