[Main]
Experiment = "Rvst"
Header length = 36    
Date = "20200210 09:36:47"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Time Sweep ]
Interval = 5.000000E+0
Duration = 3.600000E+3

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 100.000000E-3
Final Voltage (V) = 100.000000E-3
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 1.000000E-3
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)
2.333093598E+3	100.000001490E-3	969.480240333E-12	19.927520160E-12	103.148055349E+6	2.120192725E+6
2.353093451E+3	100.000001490E-3	974.655728613E-12	10.977873968E-12	102.600332153E+6	1.155621911E+6
2.373092983E+3	100.000001490E-3	992.767324913E-12	13.149311374E-12	100.728538279E+6	1.334160463E+6
2.393092502E+3	100.000001490E-3	989.332759090E-12	14.493951534E-12	101.078227291E+6	1.480819183E+6
2.413094377E+3	100.000001490E-3	1.001174496E-9	17.013043691E-12	99.882689669E+6	1.697315074E+6
2.433091863E+3	100.000001490E-3	1.007764880E-9	23.856873327E-12	99.229496375E+6	2.349065315E+6
2.453093283E+3	100.000001490E-3	1.028104086E-9	12.240473657E-12	97.266417761E+6	1.158041332E+6
2.468093159E+3	100.000001490E-3	1.029279025E-9	14.026820531E-12	97.155386472E+6	1.324015292E+6
2.483093897E+3	100.000001490E-3	1.005891404E-9	16.755671403E-12	99.414311659E+6	1.655997390E+6
2.503092859E+3	100.000001490E-3	1.023681301E-9	13.204480629E-12	97.686654442E+6	1.260061638E+6
2.518094417E+3	100.000001490E-3	1.014531403E-9	12.027815125E-12	98.567674854E+6	1.168572768E+6
2.538092506E+3	100.000001490E-3	996.198672810E-12	20.187435042E-12	100.381584738E+6	2.034179302E+6
2.558092834E+3	100.000001490E-3	1.017594201E-9	18.116242935E-12	98.271001744E+6	1.749519936E+6
2.573093178E+3	100.000001490E-3	1.025809645E-9	14.262146247E-12	97.483974678E+6	1.355349611E+6
2.588092556E+3	100.000001490E-3	1.032403827E-9	19.371611726E-12	96.861323869E+6	1.817467068E+6
2.603093222E+3	100.000001490E-3	1.009014050E-9	13.132500279E-12	99.106649222E+6	1.289890957E+6
2.623092171E+3	100.000001490E-3	993.866132600E-12	18.502359676E-12	100.617173893E+6	1.873144763E+6
